"departamento","codigo_departamento","municipio","codigo_municipio","poblacion","2020-02-13","2020-02-14","2020-02-15","2020-02-16","2020-02-17","2020-02-18","2020-02-19","2020-02-20","2020-02-21","2020-02-22","2020-02-23","2020-02-24","2020-02-25","2020-02-26","2020-02-27","2020-02-28","2020-02-29","2020-03-01","2020-03-02","2020-03-03","2020-03-04","2020-03-05","2020-03-06","2020-03-07","2020-03-08","2020-03-09","2020-03-10","2020-03-11","2020-03-12","2020-03-13","2020-03-14","2020-03-15","2020-03-16","2020-03-17","2020-03-18","2020-03-19","2020-03-20","2020-03-21","2020-03-22","2020-03-23","2020-03-24","2020-03-25","2020-03-26","2020-03-27","2020-03-28","2020-03-29","2020-03-30","2020-03-31","2020-04-01","2020-04-02","2020-04-03","2020-04-04","2020-04-05","2020-04-06","2020-04-07","2020-04-08","2020-04-09","2020-04-10","2020-04-11","2020-04-12","2020-04-13","2020-04-14","2020-04-15","2020-04-16","2020-04-17","2020-04-18","2020-04-19","2020-04-20","2020-04-21","2020-04-22","2020-04-23","2020-04-24","2020-04-25","2020-04-26","2020-04-27","2020-04-28","2020-04-29","2020-04-30","2020-05-01","2020-05-02","2020-05-03","2020-05-04","2020-05-05","2020-05-06","2020-05-07","2020-05-08","2020-05-09","2020-05-10","2020-05-11","2020-05-12","2020-05-13","2020-05-14","2020-05-15","2020-05-16","2020-05-17","2020-05-18","2020-05-19","2020-05-20","2020-05-21","2020-05-22","2020-05-23","2020-05-24","2020-05-25","2020-05-26","2020-05-27","2020-05-28","2020-05-29","2020-05-30","2020-05-31","2020-06-01","2020-06-02","2020-06-03","2020-06-04","2020-06-05","2020-06-06","2020-06-07","2020-06-08","2020-06-09","2020-06-10","2020-06-11","2020-06-12","2020-06-13","2020-06-14","2020-06-15","2020-06-16","2020-06-17","2020-06-18","2020-06-19","2020-06-20","2020-06-21","2020-06-22","2020-06-23","2020-06-24","2020-06-25","2020-06-26","2020-06-27","2020-06-28","2020-06-29","2020-06-30","2020-07-01","2020-07-02","2020-07-03","2020-07-04","2020-07-05","2020-07-06","2020-07-07","2020-07-08","2020-07-09","2020-07-10","2020-07-11","2020-07-12","2020-07-13","2020-07-14","2020-07-15","2020-07-16","2020-07-17","2020-07-18","2020-07-19","2020-07-20","2020-07-21","2020-07-22","2020-07-23","2020-07-24","2020-07-25","2020-07-26","2020-07-27","2020-07-28","2020-07-29","2020-07-30","2020-07-31","2020-08-01","2020-08-02","2020-08-03","2020-08-04","2020-08-05","2020-08-06","2020-08-07","2020-08-08","2020-08-09","2020-08-10","2020-08-11","2020-08-12","2020-08-13","2020-08-14","2020-08-15","2020-08-16","2020-08-17","2020-08-18","2020-08-19","2020-08-20","2020-08-21","2020-08-22","2020-08-23","2020-08-24","2020-08-25","2020-08-26","2020-08-27","2020-08-28","2020-08-29","2020-08-30","2020-08-31","2020-09-01","2020-09-02","2020-09-03","2020-09-04","2020-09-05","2020-09-06","2020-09-07","2020-09-08","2020-09-09","2020-09-10","2020-09-11","2020-09-12","2020-09-13","2020-09-14","2020-09-15","2020-09-16","2020-09-17","2020-09-18","2020-09-19","2020-09-20","2020-09-21","2020-09-22","2020-09-23","2020-09-24","2020-09-25","2020-09-26","2020-09-27","2020-09-28","2020-09-29","2020-09-30","2020-10-01","2020-10-02","2020-10-03","2020-10-04","2020-10-05","2020-10-06","2020-10-07"
"SIN DATO","99","SIN DATO","99","SIN DATO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUATEMALA","01","SIN DATOS","99","SIN DATO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,1,1,2,0,3,1,0,4,1,1,2,6,1,5,8,2,2,1,2,15,4,1,9,7,0,2,10,8,2,1,5,5,14,14,16,5,35,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,1,0,2,1,0,0,1,0,2,0,4,12,6,0,2,2,5,0,2,2,0,1,2,2,3,6,0,5,3,8,1,0,0,0,0,2,0,0,2,2,0,1,0,0,1,0,3,0,0,3,1,3,0,3,0,3,0,2,1,1,1,0,2,3,2,2,0,1,0,1,7,3,0,4,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUATEMALA","01","GUATEMALA","0101","1205668",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,4,2,3,3,2,3,2,12,6,5,13,7,0,6,8,4,17,12,10,44,16,34,28,65,53,28,35,41,77,85,110,106,202,64,116,125,96,77,61,61,49,55,105,63,99,122,159,116,98,110,103,163,106,102,33,125,157,271,196,248,184,102,99,321,284,125,394,222,241,207,251,408,436,447,464,303,231,346,214,371,350,331,252,112,398,375,281,313,377,192,59,358,378,340,309,427,215,69,424,345,340,249,289,97,60,195,330,239,189,209,104,55,269,225,262,206,135,27,79,150,169,179,232,179,61,28,222,172,223,177,151,59,20,133,121,129,119,98,35,25,149,184,140,99,76,44,26,80,27,100,117,135,40,39,134,162,75,137,164,96,26,125,101,114,117,122,39,47,114,145,158
"SACATEPEQUEZ","03","SIN DATOS","99","SIN DATO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,2,0,8,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUATEMALA","01","VILLA CANALES","0116","165026",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2,2,0,3,0,3,0,1,1,3,4,3,11,2,10,5,3,7,7,3,8,2,5,4,3,4,3,5,1,1,5,8,6,9,0,7,8,15,6,8,7,4,5,7,11,2,16,13,6,9,9,9,18,19,19,15,8,19,12,24,9,19,16,3,28,13,11,7,22,4,5,22,18,19,8,18,14,2,15,15,12,11,16,7,4,7,14,8,8,12,7,4,11,9,11,19,14,4,7,12,8,11,8,11,8,6,9,7,9,7,2,0,1,10,3,5,1,4,0,1,7,1,5,5,4,2,1,5,0,0,3,3,1,0,7,9,2,4,9,0,0,7,2,5,5,6,1,1,4,5,1
"GUATEMALA","01","VILLA NUEVA","0115","464528",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,1,3,0,0,4,1,1,6,2,0,1,4,4,8,22,6,5,2,13,21,22,30,40,14,36,25,9,25,20,6,28,14,25,16,14,42,20,23,26,27,39,36,11,47,6,34,75,66,59,70,35,25,45,73,66,22,110,50,75,40,73,76,87,92,114,106,56,64,62,91,93,75,43,23,94,85,68,78,82,61,21,88,81,121,81,75,34,6,63,80,70,69,52,10,7,29,93,24,34,64,18,8,39,55,56,52,33,6,8,39,24,62,50,53,4,11,39,41,24,25,24,2,2,18,24,21,17,18,2,3,12,16,15,18,18,7,7,23,5,21,12,16,6,3,22,42,15,42,24,22,3,9,29,20,21,17,9,7,21,31,23
"GUATEMALA","01","MIXCO","0108","494561",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,2,2,3,1,4,3,0,0,2,1,9,3,18,7,7,9,10,13,15,8,5,15,24,12,22,16,33,21,21,14,34,30,16,44,27,15,14,21,37,31,12,27,24,51,38,20,38,7,44,54,64,65,104,36,28,36,94,77,39,87,60,61,37,66,87,110,126,134,123,103,82,53,143,87,96,74,27,92,166,82,79,120,50,9,123,114,82,78,109,85,10,84,75,86,76,160,28,11,49,89,76,75,85,28,10,86,92,90,73,58,5,17,58,60,81,60,56,18,9,66,71,73,58,45,7,9,37,25,34,31,26,14,4,60,36,58,40,31,8,10,31,8,40,19,40,12,6,53,67,28,44,43,28,3,43,31,33,38,37,6,7,31,44,49
"SACATEPEQUEZ","03","CIUDAD VIEJA","0312","40083",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,1,0,0,0,3,7,1,7,3,3,2,2,4,3,2,1,3,3,1,2,0,5,6,5,5,7,2,2,5,6,5,5,4,8,2,2,11,5,10,8,2,5,8,11,4,5,4,2,3,4,7,0,1,2,4,1,1,5,1,3,6,3,5,2,6,7,8,2,2,3,1,6,3,3,4,0,0,5,1,1,3,0,1,0,1,1,5,4,3,0,1,7,0,2,2,0,3,0,7,0,8,1,2,0,2,1,0,0,1,0,0,0,2,0,1,2,1,3,1,3,3,3
"SANTA ROSA","06","CUILAPA","0601","46489",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,3,0,0,2,0,1,2,0,0,0,1,0,0,0,0,5,0,0,0,3,3,0,1,0,3,5,1,5,3,0,2,2,1,3,8,0,0,2,1,1,3,1,2,0,4,1,3,4,0,0,2,3,0,12,2,1,2,1,4,4,2,11,5,0,1,2,0,1,2,2,0,1,5,6,0,6,1,0,0,3,0,1,2,3,0,1,0,3,1,0,0,0,0,3,4,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,2,0,1,0,1,5,0,1,0,0,0,0,0,0
"GUATEMALA","01","SAN PEDRO SACATEPEQUEZ","0109","54623",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,4,1,5,6,5,0,1,6,5,16,0,0,0,0,4,3,0,1,2,0,3,0,2,0,1,8,4,2,3,1,0,2,5,3,2,1,1,3,0,0,2,1,2,0,3,5,0,3,2,1,0,2,0,1,18,5,2,2,2,1,2,1,2,3,1,1,0,2,1,11,5,20,1,0,1,2,1,0,5,0,0,1,0,3,2,2,0,1,2,2,8,7,1,0,0,4,2,1,1,0,0,0,1,1,0,0,0,1,0,4,3,0,1,0,0,0,1,0,2,0,1,0,0,1,0,0,2,0,0,0,2,1,0,1,1,2,0,0,0,4
